Nr. Crt.,Numar Registru,Numar Registru Special,Data Inregistrare,Categorie Personalitate Juridica,Denumire ONG,Instanta,Status,Este Filiala,Localitate,Judet,CUI,Scop,Are Utilitate Publica,Categorii relevante,Motiv relevanță,Tip intervenție
46170,23623/A/2017,7/159,06.05.2017,Asociație,ASOCIAȚIA PENTRU EDUCAȚIE MAGIC CHILDREN,Judecatoria GIURGIU,Inregistrat,Nu,GIURGIU,GIURGIU,,"Scopul asociației este promovarea și susținerea activităților de educație a copiilor în instituțiile de învățământ (școli, grădinițe și after-school), creșterea calității serviciilor de asistență educațională, încurajarea, promovarea și susținerea alternativelor educaționale și a învățământului particular.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46185,23581/A/2017,18,05.05.2017,Asociație,ASOCIAȚIA DE PĂRINȚI ăCOALA GIMNAZIALĂ AVRAM IANCU ARAD,Judecatoria ARAD,Inregistrat,Nu,ARAD,ARAD,,"(a)	Susținerea principiilor privind modernizarea, eficientizarea, creșterea eficacității și calității precum și îmbunătățirea continuă a învățământului, în concordanță cu standardele Uniunii Europene și a specificului societății românești, în interesul copiilor din școală și din învățământul preuniversitar.
(b)	Susținerea și promovarea intereselor copiilor și părinților din învățământul preuniversitar în relațiile cu profesorii și conducerea liceului. Inspectoratul școlar, Administrațiile centrale și locale, sindicatele din învățământ, federații ale părinților, alte organizații naționale și internaționale și societatea civilă",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46189,23601/A/2017,48,05.05.2017,Asociație,ASOCIATIA CENTRUL EDUCATIONAL OAKS ACADEMY,Judecatoria SECTORUL 3 BUCURESTI,Radiat,Nu,SECTORUL 3 - BUCURESTI,BUCURESTI,,"- cresterea ofertei culturale, formativ-educative si didactice pe plan local, regional, national si international prin muzica, coregrafie, dans, activitati formativ-educative si didactice, precum si alte activitati interdisciplinare si multiculturale;
-  educarea elevilor si prescolarilor, precum si de a consilia parintii si cadrele didactice, in directia implementarii unui invatamant modern si interactiv. Beneficiarii directi ai activitatii asociatiei vor fi copiii, care vor fi implicati in manifestarile educative, iar indirecti parintii si cadrele didactice, care vor fi formate si consiliate prin stagii specifice, simpozioane sau alte activitati.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46211,23598/A/2017,66,05.05.2017,Asociație,ASOCIAȚIA ELEVILOR DIN BUCUREȘTI,Judecatoria SECTORUL 2 BUCURESTI,Inregistrat,Nu,NEDETERMINAT,BUCURESTI,,"Scopul principal al ASOCIATIEI ELEVILOR DIN BUCURESTI consta în imbunatatirea și sistematizarea procesului educational prin implementarea unor activitÒți ce vizeaza dinamizarea perspectivei elevului, democratizarea scolilor și solidificarea relațiilor profesor – elev - pÒrinte.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46231,23565/A/2017,44,04.05.2017,Asociație,ASOCIAȚIA „CREȘTEM COPII FERICIȚI”,Judecatoria SECTORUL 2 BUCURESTI,Inregistrat,Nu,NEDETERMINAT,BUCURESTI,,"Misiunea Asociației este aceea de a promova, de a încuraja și de a sprijini dezvoltarea copiilor, precum și de a reprezenta interesele pÒrinților ¯n educarea, creșterea si pregÒtirea copiilor,  pentru  dobÔndirea calitÒților necesare unei vieți frumoase si armonioase.
Scopul Asociației este inițierea, organizarea, promovarea și susținerea unor programe educative ș care vizeazÒ ¯n principal interesele copiilor ¯nscriși ¯n cadrul Școlii Gimnaziale ""Ferdinand I""-București.
Asociația ¯și propune de asemenea sprijinirea activitÒții educaționale, administrative, sociale si pedagogice ale Scolii Gimnaziale ôFerdinand Iö- București, prin atragerea si stimularea pÒrinților și a altor parteneri, pentru a participa la ¯mbunÒtÒțirea condițiilor de viațÒ și educație a copiilor din școalÒ, pentru o mai bunÒ colaborare ¯n individualizarea ¯nvÒțÒturii, asigurarea șanselor egale de dezvoltare și de formare a fiecÒrui copil ¯n parte.
Asociația ¯și propune totodatÒ sI contribuie la ¯ntreținerea, dezvoltareați modernizarea bazei materiale necesare pentru susținerea procesului de instruire În ȘcoalĂ.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46259,23535/A/2017,26,04.05.2017,Asociație,ASOCIATIA DE PARINTI A GRADINITEI CU PROGRAM PRELUNGIT NR. 8 BRASOV,Judecatoria BRASOV,Inregistrat,Nu,BRASOV,BRASOV,,"reprezentarea si promovarea atât în fata autoritatilor cât si în fata altor persoane juridice de drept public sau privat precum si în fata oricarui alt subiect de drept, a intereselor asociatiei, implicit ale elevilor, precum si în sprijinirea obiectivelor educationale, dezvoltarea, modernizarea, întretinerea bazei materiale a gradinitei, sprijinirea gradinitei în realizarea si îmbunatatirea continua a procesului de instruire si educare a copiilor",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46268,23536/A/2017,27,04.05.2017,Asociație,ASOCIAȚIA „CODREANU”,Judecatoria BRASOV,Inregistrat,Nu,BRASOV,BRASOV,,"implicarea în viața socială prin ajutoare umanitare destinate persoanelor handicapate, bătrâni, orfani și alte categorii sociale; asistență și donații de echipamente pentru diferite instituții sociale, cum ar fi: orfelinate, azile, spitale, creșe, biserici, școli, penitenciare; organizarea și coordonarea activităților instructiv-educaționale în departamentele preșcolare, primare și gimnaziale; acordarea de ajutor persoanelor cu probleme de sănătate și sociale, fără deosebire de sex, vârstă, religie sau naționalitate; îndrumarea oamenilor în a cunoaște și practica valorile morale",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46273,23550/A/2017,41,04.05.2017,Asociație,ASOCIATIA DE PARINTI A COLEGIULUI TEHNIC DE TRANSPORTURI BRASOV,Judecatoria BRASOV,Inregistrat,Nu,BRASOV,BRASOV,,"sprijinirea realizării obiectivelor educaționale; dezvoltarea, modernizarea, întreținerea bazei materiale a colegiului; sprijinirea colegiului în realizarea și îmbunătățirea continuă a procesului de instruire și educare a elevilor; reprezentarea și promovarea atât în fața autorităților, cât și în fața altor persoane juridice de drept public sau privat, precum și a oricărui alt subiect de drept a intereselor asociației, în condițiile prezentului statut și ale legii",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46281,23528/A/2017,31,03.05.2017,Asociație,ASOCIAȚIA CIUPERCUȚA,Judecatoria SECTORUL 4 BUCURESTI,Inregistrat,Nu,NEDETERMINAT,BUCURESTI,,"In general, scopul ASOCIATIEI CIUPERCUTA este sustinerea, modernizarea, eficientizarea, cresterea eficacitatii si calitatii precum si imbunatatirea continua a invatamantului, in concordanta cu standardele Uniunii Europene si a specificului societatii romanesti, in interesul copiilor din invatamantul prescolar.
Beneficiarii directi ai activitatii Asociatiei ,,CIUPERCUTA” vor fi copii ce urmeaza cursurile prescolare in cadrul unitatilor de invatamant de stat, si in special in cadrul Gradinitei Ciupercuta, care vor fi implicati in manifestarile educative, iar indirecti parintii si cadrele didactice, care vor fi formate si consiliate prin stagii profesionale sau alte activitati specifice.
In particular, Asociatia urmareste:
Ř	identificarea, mobilizarea si valorificarea resurselor necesare sustinerii sistemului si activitatilor educationale,
Ř	atragerea si utilizarea, in conditiile legii, de surse de finantare si resurse sub forma de subventii, contributii, cotizatii, sponsorizari, finantari pe baza de proiecte cu surse de finantare interne si externe,
Ř	colaborarea cu institutele de invatamant in vederea formarii, perfectionarii si cresterii nivelului de pregatire al copiilor,
Ř	ridicarea nivelului profesional si stiintific al cadrelor didactice;
Ř	asigurarea unui mediu educational necesar unui invatamant performant prin legatura permanenta cu managementul unitatii de invatamant si administratiile locale, in ceea ce priveste  masurile administrative, gospodaresti si de securitate a copiilor care frecventeaza unitatile de invatamant preuniversitar;
Ř	modernizarea invatamantului romanesc si a managementului acestuia;
Ř	realizarea unei mai mari conectivitati a unitatilor de invatamant preuniversitar cu mediul economic, comunitatea locala, societatea civila, organizatiile nonguvernamentale si guvernamentale si mass-media, in vederea cresterii calitatii educatiei civice a copiilor;
Ř	dezvoltarea de legaturi cu asociatii de acelasi tip sau conexe procesului de invatamant, la nivel national;
Ř	sprijinirea initiativelor si proiectelor copiilor, inclusiv cele care privesc imprimarea caracterului practic aplicativ si valorifica pregatirea si inteligenta lor;
Ř	 protejarea tinerelor valori;
Ř	conlucrarea cu organismele nonguvernamentale, inclusiv cu comisiile de ocrotire si autoritate tutelara in vederea respectarii drepturilor copiilor si integrarii lor in unitatile de invatamant preuniversitar si  in societate;
Ř	promovarea si imbunatatirea actului educational;
Ř	sustinerea unor activitati ale elevilor cu caracter social, cultural, profesional, economic si sportive;
Ř	gestionarea fondurilor provenite din cotizatii si alte surse
Ř	contribuirea la calificarea personalului Gradiniței Ciupercuța in vederea imbunatațirii activitații educative si de ingrijire a copiilor, favorizand intalnirile regulate ale membrilor;
Ř	producerea si difuzarea de materiale didactice, materiale auxiliare, mijloace de inavatamant;
Ř	educatia familiei si a parintilor;
Ř	organizarea de evenimente si acțiuni cu teme diverse menite sa asigure atingerea scopului Asociatiei;
Ř	acordarea de premii, diplome si distinctii pentru merite deosebite;",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46288,23531/A/2017,34,03.05.2017,Asociație,ASOCIAȚIA INNER CREATION,Judecatoria SECTORUL 4 BUCURESTI,Inregistrat,Nu,NEDETERMINAT,BUCURESTI,,"(a)	promovarea unui spirit constient si a unei mentalităti sănătoase printr-o educatie non-formală în favoarea dezvoltării personale individuale si de grup cu ajutorul a variate activităti suport destinate publicului larg (categorii de beneficiari -copii, tineri, părinti, adulti (femei, bărbati) persoane cu dizabilităti/deficiente, persoane vârstnice, grupuri, societăti, organizatii) cu scopul de a ajuta si sustine îmbunătătirea stării de constientizare, dezvoltare a talentelor si abilitătilor personale, îmbunătătirea calitătii vietii si contribuirea la realizarea aspiratiilor si a viselor personale;
(b)	constituirea unui grup tot mai vizibil de specialisti si oameni formati, calificati pentru noile provocari ocupationale din Romania, din sfera si pe tematica dezvoltarii personale;
(c)	cresterea gradului de constientizare in Romania asupra necesitatii si importantei auto-educarii dar si a formarii si perfectionarii continue profesionale si personale, componenta indispensabila in evolutia proprie si la sporirea gradului de satisfactie in viata si implinire personala;
(d)	îmbunătățirea condițiilor psiho-emotionale de instruire și educare ale elevilor si tinerilor din scoala romaneasca prin organizarea de programe educative extracurriculare si extrascolare;
(e)	initierea si derularea de campanii, ateliere practice sustinute in unitati de învățământ, dar și dupa caz, in si impreuna cu alte instituții similare din sfera educatiei nonformale;
(f)	elaborarea, sprijinirea, promovarea si/sau realizarea de programe privind sustinerea si dezvoltarea continua a procesului instructiv-educativ-formativ pentru copii și tineri, sub aspect psiho-emotional, relational, de grup si individual, prin implicarea si cu ajutorul membrilor ASOCIATIEI. ASOCIATIA, prin membrii si colaboratorii sai, persoane cu studii de Psihologie, Sociologie, Stiinte Umaniste, Sociale etc., cu diferite formari si calificari ca si traineri, formatori, mediatori intre egali, facilitatori, animatori socio-culturali, coach/antrenori de profesie doreste să promoveze in randul generatiilor mai tinere accesul mult mai facil la provocatoarea si complexa tema a dezvoltarii personale, intercunoasterii, autocunoasterii, interactiunii sicio-emotionale, aproape de mediul scolar dar si in afara lui;
(g)	accesarea, elaborarea, sprijinirea, promovarea, realizarea si/sau participarea ori colaborarea la derularea programelor locale, regionale, nationale, transfrontaliere si europene, in domeniile de interes ale asociatiei, cu precadere in cele privitoare la programe de educatie, dezvoltare personala, democratie europeana si abilitati civice, dezvoltare durabila, abilitati de preprofesionalizare, orientare scolara si vocationala;
(h)	designul si derularea de programe extrascolare si in parteneriat cu autoritatile scolare pentru crearea contextului unor grupuri suport, cu caracter permanent care să fie in legatura cu grupurile de copii si tineri in situatii de risc;
(i)	asocierea/colaborarea/afilierea cu alte persoane juridice non-profit, din tara si/sau din strainatate, entitati de acelasi profil si cu scop asemanator, in vederea realizarii scopului si obiectivelor proprii ASOCIATIEI; si
(j)	susținerea, ajutorarea, sprijinul financiar acordat in unele situatii deosebite (probleme medicale deosebite, interventii, spitalizari) pentru copii, elevi, tineri din Romania, a unor elevi cu diferite deficiente si Cerinte Educative Speciale sau Tulburari Specifice de Invatare, sprijinirea materiala a unor elevi sau a familiilor lor aflate in unele cazuri sociale deosebite; sprijinirea unor variate activitati educationale extracurriculare ori extrascolare, sportive, de relaxare, odihna, practica a Mindfulness-ului pentru elevi si tineri, parintii lor si bunicii acestora.",Nu,Consiliere copii; Educație/meditații,"menționează explicit consiliere/suport psihologic pentru copii, elevi sau minori; menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Consiliere copii + Educație/meditații
46292,16894/A/2010,195,03.05.2017,Asociație,ASOCIAȚIA PĂRINȚILOR DIN CADRUL LICEULUI TEORETIC “ONISIFOR GHIBU” CLUJ-NAPOCA,Judecatoria CLUJ-NAPOCA,Inregistrat,Nu,CLUJ-NAPOCA,CLUJ,,"atragerea de fonduri prin derularea unor activități complementare și prin cointeresarea unor instituții, persoane juridice și persoane fizice în derularea unor proiecte, privind o mai bună funcționare a vieții Liceului teoretic „Onisifor Ghibu”Cluj-Napoca, sprijinirea procesului de învățământ; promovarea, motivarea și stimularea elevilor și cadrelor didactice pentru obținerea performanțelor școlare; contribuirea la buna desfășurare a activității școlare și a condițiilor în care se desfășoară activitatea Liceului Teoretic „Onisifor Ghibu”Cluj-Napoca; susținerea materială a elevilor și cadrelor didactice cu probleme speciale; promovarea imaginii școlii românești în general și a Liceului teoretic „Onisifor Ghibu”Cluj-Napoca în mod special; promovarea unei atitudini pozitive în cadrul societății în legătură cu promovarea tinerilor absolvenți ai acestei instituții de învățământ în vederea găsirii unor locuri de muncă atractive; de a căuta activ și atrage resurse financiare/materiale pentru dezvoltarea unor programe care se concentrează asupra dezvoltării socio-psiho-culturale a elevilor din școală",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46296,23530/A/2017,33,03.05.2017,Asociație,ASOCIAȚIA PRINTESA ALESSIA MARIA,Judecatoria SECTORUL 4 BUCURESTI,Inregistrat,Nu,NEDETERMINAT,BUCURESTI,,"Scopul Asociatiei ”PRINTESA ALESSIA MARIA’’ il constituie:
a) – apararea si promovarea drepturilor si intereselor persoanelor cu autism si ale familiilor acestora;
b) – initierea, promovarea si desfasurarea unor activitati privind strangerea de fonduri pentru sprijinirea programelor de terapie pentru persoanele cu autism;
c) – initierea si promovarea unor programe privind incluziunea sociala si integrarea scolara a copiilor autisti;
d) – promovarea si desfasurarea unor activitati si/sau programe privind promovarea tolerantei in societatea civila si a non-discriminarii fata de persoanele cu autism;
e) – colaborarea cu alte organisme guvernamentale si/sau neguvernamentale si realizarea de activitati comune in vederea atingerii scopului asociatiei.",Nu,Consiliere copii,"menționează explicit consiliere/suport psihologic pentru copii, elevi sau minori",Consiliere copii
46344,23477/A/2017,25/A,28.04.2017,Asociație,ASOCIAȚIA PENTRU ARTĂ SI EDUCAȚIE ..GEORGE APOSTU” BACĂU,Judecatoria BACAU,Inregistrat,Nu,BACAU,BACAU,,"Scopul principal al Asociației este acela ar organizării, sprijinirii, dezvoltării și desfășurării activităților sociale, culturale și artistice, în domeniul promovării drepturilor și intereselor legitime ale elevilor, profesorilor și părinților în relația partenerială scoală - elevi - părinți la Colegiul National de Artă “George Apostu” Bacău.
In realizarea scopului principal Asociația poate desfășura orice activități economice directe, daca acestea au caracter accesoriu si sunt in strânsă legătura cu acest scop.
Asociația poate înființa societăți comerciale. Dividendele obținute de asociație din activitățile acestor societăți comerciale, daca nu se reinvestesc in aceleași societăți comerciale, se folosesc in mod obligatoriu pentru realizarea scopului asociației.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46347,23449/A/2017,6/A/I,27.04.2017,Asociație,"ASOCIATIA PARINTILOR ""LA CEAS"" RAMNICU VALCEA",Judecatoria RÂMNICU VALCEA,Inregistrat,Nu,NEDETERMINAT,VÂLCEA,,"sprijinirea Scolii Gimnaziale ""Take Ionescu"" Rm. Valcea pentru realizarea obiectivelor educationale,dezvoltarea,modernizarea,intretinerea bazei materiale a scolii;sprijinirea scolii in realizarea si imbunatatirea continua a procesului de instruire si educare a elevilor;atragerea de fonduri pentru sprijinirea activitatii didactice si in mod direct sustinerea elevilor cu rezultate deosebite pentru a putea participa la diferite competitii interne si internationale",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46350,23453/A/2017,13,27.04.2017,Asociație,"ASOCIAȚIA ""LOVE FUN SMILE""",Judecatoria SECTORUL 6 BUCURESTI,Inregistrat,Nu,BUCURESTI,BUCURESTI,,"Promovarea si sustinerea educatiei, formarii si invatarii pe tot parcursul vietii a cetatenilor romani in vederea cresterii ratei de participare pe piata europeana a muncii. Sporirea si cresterea nivelului general de calitate la toate nivelurile de educatie si formare, adresandu-se tuturor categoriilor de varsta : copii (2-14 ani), adolescenti (15-18 ani) si adulti peste 18 ani.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46367,23473/A/2017,33,27.04.2017,Asociație,ASOCIAȚIA ABITUR 2029,Judecatoria SECTORUL 6 BUCURESTI,In Lichidare,Nu,BUCURESTI,BUCURESTI,,"A contribui la buna desfășurare a activității școlare și a condițiilor în care se desfășoară activitatea copiilor din clasa 0C (anul de învățământ 2016-2017)în special și în Colegiul German Goethe București în general, la creșterea performanțelor școlare a învățământului cu predare în limba germană, motivarea elevilor, susținerea materială a elevilor cu probleme speciale, susținerea și promovarea elevilor în activități școlare și extrașcolare, promovarea imaginii școlii în limba germană în general și a Colegiul German Goethe în mod special.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46381,23431/A/2017,12/25.04.2017,26.04.2017,Asociație,ASOCIATIA PARINTILOR DIN LICEUL TEHNOLOGIC JOANNES KAJONI SZAKKOZEPISKOLA EGYESULETE,Judecatoria MIERCUREA CIUC,Inregistrat,Nu,MIERCUREA CIUC,HARGHITA,,"SPRIJINIREA REALIZARII OBIECTIVELOR EDUCATIONALE, DEZVOLTAREA, MODERNIZAREA, INTRETINEREA BAZAI MATERIALE A SCOLII, SPRIJINIREA SCOLII, SPRIJINIREA SCOLII IN REALIZAREA SI PROMOVAREA ASOCIATIEI, ATRAGEREA DE FONDURI IN VEDEREA SPRIJINIRII IN CEEA CE PRIVESTE ACTIVITATEA DIDACTICA SI IN MOD DIRECT SUSTINEREA ELEVILOR CU REZULTATE DEOSEBITE PENTRU A PARTICIPA LA DIFERITE COMPETITII INTERNE SI INTERNATIONALE, SAU A CELOR CU SITUATII SOCIALE SPECIALE.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46402,23436/A/2017,2,26.04.2017,Asociație,ASOCIATIA DE PARINTI SI CADRE DIDACTICE SCOALA GHINESTI,Judecatoria RACARI,Inregistrat,Nu,SALCIOARA - DB,DÂMBOVITA,37352642,"Scopul Asociației constă în:
a)	sprijinirea unității de învățământ ăcoala Gimnazială Ghinești, comuna Sălcioara, județul Dânibovița, în activitatea de educare, instruire, formare, îndrumare și supraveghere a elevilor acestei școli și implicarea în activitățile de îmbunătățire, modernizare și întreținere 'a bazei materiale a școlii, implicarea în activități extrașcolare;
b)	creșterea gradului de autonomie a ăcolii Gimnaziale Ghinești;
c)	crearea unuii parteneriat viabil părinți - cadre didactice;
d)	dezvoltarea relațiilor de colaborare școală - comunitate;
e)	susțiiierea și prortiovarea interesului copiilor și părinților din școlile și grădinițele din cadrul ăcolii Gimnaziale Ghinești, în relație cu profesorii, conducerea
școlii, autorități, administrație și terți.
Pentru realizarea scopului, asociația va umări îndeplinirea următoarelor obiective:
a)	atragerea și utilizajrea, în condițiile legii, a surselor de finanțare sub formă de subvenții, inclusiv redirecționarea a 2% din impozit, contribuții, cotizații, sponsorizări, finanțări, pe,baza de proiecte cu surse de finanțare interne și externe;
b)	sprijinirea  conducerii școlii în întreținerea și modernizarea bazei materiale;
c)	susținerea școlii în programe de prevenire și combatere a abandonului școlar;
d)	sprijinirea parteneriatelor educaționale existente în școală;
e)	stimularea' elevilor si a cadrelor didactice cu rezultate deosebite la olimpiadele și concursurile națjonale  și internaționale;
f)   achiziționarea de material didactic modem, aparatură, cărți și reviste de specialitate,
g)stimularea si sprijinirea  activitatii publicistice a elevilor prin editarea  de pliante, postere, calendare si reviste scolare pentru valorificarea activitatilor elevilor din scoala,
e)	sprijinirea oricarei activitati care vine  în ajutorul sau in completarea procesului de invatamant;",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46424,23414/A/2017,20/RA,25.04.2017,Asociație,ASOCIAȚIA CLUBUL SPORTIV DE ȘAH NOUL REGAT CRISADE PITEȘTI,Judecatoria PITESTI,Inregistrat,Nu,NEDETERMINAT,NEDETERMINAT,,"Conform actului constitutiv si statutului, ambele atestate de avocat, asociatia, infiintata pe durata nedeterminata, isi propune ca scop principal al activitatii, pregătirea elevilor în domeniul șahului, organizarea unor competiții interne și internaționale de șah în baza regulamentelor și statutelor federațiilor sportive naționale în conformitate cu prevederile Art. 37 din Legea nr. 69/2000 privind Educația Fizică și Sportul cu modificările și completările ulterioare pe de o parte, iar pe de altă parte ridicarea gradului de conștientizare a elevilor și părinților cu privire la eliminarea violenței din mediul educațional prin substituirea atitudinilor tensionate cu activități sportive ordonate care conduc la un mediu disciplinat și ordonat generat de susținerea și dezvoltarea șahului ca mijloc sănătos de recreere și întrecere.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46435,23402/A/2017,47,22.04.2017,Asociație,ASOCIATIA WALDORF - EDUCATIE IN RITMUL TAU,Judecatoria SECTORUL 3 BUCURESTI,Inregistrat,Nu,NEDETERMINAT,BUCURESTI,37555396,"constituie implicarea, organizarea, reprezentarea si dezvoltarea activitătilor educativ-sociale, în domeniul promovării intereselor asociatiei în relatia partenerială scoală – părinti, atât în fata autoritătilor, cât si în fata altor persoane juridice de drept public sau privat, precum si a oricărui alt subiect de drept, în conditiile prezentului statut si ale legii;promovarea artei de a educa bazată pe stiinta spiritual antropozofică a lui Rudolf Steiner (1861 – 1925) practicată în scolile Waldorf din întreaga lume.
De asemenea, scopul Asociatiei este acela de a asigura conditiile materiale si spirituale pentru aplicarea pedagogiei Waldorf în cadrul institutiilor de învătământ.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46471,15866/A/2007,2,20.04.2017,Asociație,"CASA DE AJUTOR RECIPROC A SALARIAȚILOR DIN ÎNVĂȚĂMÂNT ȘCOALA NR.4 BUHUȘI, JUD.BACĂU I.F.N., PRESCURTAT C.A.R. A SALARIAȚILOR DIN INVĂȚĂMÂNT ȘCOALA NR. 4 BUHUȘI, JUD.BACĂU I.F.N.",Judecatoria BUHUSI,Radiat,Nu,,BACAU,,fără scop patrimonial,Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46525,16890/A/2010,5,20.04.2017,Asociație,"ASOCIAȚIA ""PĂRINȚILOR DE LA ȘCOLILE DIN COMUNA GÎRLENI, JUDEȚUL BACĂU""",Judecatoria BUHUSI,Inregistrat,Nu,GÎRLENI - BC,BACAU,,"realizarea cadrului organizatoric de colborare între școală și familie, comunitate pentru obținererea rezultatelor educaționale; desfășurarea activității pe baza unui program elaborat în comun cu Consiliul elevilor și comitetul educativ școlar, având ca obiectiv realizarea parteneriatului educaționale, etc.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46534,23357/A/2017,30,16.04.2017,Asociație,ASOCIAȚIA CREATIVITY CLUB,Judecatoria TIMISOARA,Inregistrat,Nu,TIMISOARA,TIMIS,37448942,"Cercetarea, sprijinirea, promovarea și valorificarea educației informale și a consultanței educaționale în scopul diversificării ofertei educaționale, pentru copii, tineri și adulți pe piața românească, în scopul integrării acestora în viața socială.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46542,23346/A/2017,15,15.04.2017,Asociație,ASOCIAȚIA SPORTIVĂ NOUA GENERAȚIE SÎNPAUL,Judecatoria ARAD,Inregistrat,Nu,,ARAD,,"-	Organizarea, sprijinirea, practicarea și promovarea activitățiloi sportive - fotbal în comuna ăofronea, în toate formele sale. de către copii, juniori și seniori, indiferent de statutul lor. amatori sau profesioniști, care activează în campionatul județean Arad.
-	Activități sportive legate de pescuit ere, precum și organizarea, sprijinirea, practicarea și promovarea activităților de agrement
-	Promovarea și recompensarea performanței educaționale, vocuționale și sportive,
-	Realizarea de programe și proiecte destinate tinerilor:
-	Promovarea valorilor civice, ale democrației, statului de drept și respectarea ordinii publice:
-	Promovarea de relații de colaborare cu alte asociații, fundații și organisme, persoane juridice interne sau externe
-	Organizarea și susținerea activităților cultural-artistice, educative și sociale
-	Implicarea comunității în activități educative și sportive cu scopul de a diversifica modalitatea de petrecere a timpului liber, de dezvoltarea a anumitor abilități și competențe și de a facilita relaționarea socială
-	Implicarea preșcolarilor, elevilor și adolescenților și a comunității în general în activități educative si interactive cu scopul de a le dezvolta aptitudinile de comunicare cunoaștere reciprocă și dezvoltare a imaginației",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46592,23313/A/2017,1/PJ,13.04.2017,Asociație,ASOCIAȚIA INTERGENERAȚIONALĂ BELUSIA ȘI ACRIVELIA,Judecatoria DETA,Inregistrat,Nu,CIACOVA - TM,TIMIS,,"constând în prevenirea și depășirea unor situații de dificultate și vulnerabilitate a persoanelor vulnerabile (elevi cu risc de abandon școlar, persoane cu dizabilități, persoane vârstnice, copii din familii monoparentale) și dezvoltarea legăturilor intergeneraționale, dezvoltarea abilităților și integrarea socială a acestor categorii de persoane.",Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
46627,16882/A/2010,210,11.04.2017,Asociație,ASOCIAȚIA PĂRINȚILOR DIN ȘCOALA “NICOLAE TITULESCU” CLUJ-NAPOCA – AFTER SCHOOL,Judecatoria CLUJ-NAPOCA,Inregistrat,Nu,CLUJ-NAPOCA,CLUJ,,sprijinirea procesului de învățământ; promovarea și stimularea elevilor pentru obținerea de performanțe și sprijinirea socio-psiho-culturală a elevilor din școală,Nu,Educație/meditații,"menționează explicit copii/elevi/școli și educație, meditații, remedial sau after-school",Educație/meditații
